species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
5787205,2,Bdeogale omnivora,Sokoke Dog Mongoose,2
5787405,2,Natalus lanatus,Woolly Funnel-eared Bat,
5787575,2,Myotis rufopictus,Orange-fingered Myotis,2
5787673,2,Kerivoula krauensis,Krau Woolly Bat,0
5847663,2,Phyllomys blainvilii,Golden Atlantic Tree-rat,
7261838,2,Pipistrellus angulatus,Angulate Pipistrelle,0
7342635,2,Sciurocheirus alleni,Bioko Allen's Bushbaby,0
7513710,2,Lynx spelaea,,
7541326,2,Ursus deningeri,,
7807468,2,Lepilemur hollandorum,Holland's Sportive Lemur,0
7880272,2,Blanfordimys juldaschi,,
7923135,2,Cervus elaphoides,,
7930627,2,Miniopterus mossambicus,Mozambican Bent-winged Bat,
8011453,2,Myotis indochinensis,Indochinese Myotis,0
8021970,2,Pseudodama nestii,,
8051277,2,Piliocolobus parmentieri,Lomami Red Colobus,2
8081325,2,Miniopterus griffithsi,Griffiths's Long-fingered Bat,0
8160643,2,Tarsius tumpara,Siau Island Tarsier,2
8235495,2,Microcebus margotmarshae,Margot Marsh's Mouse Lemur,0
8286893,2,Megaceroides verticornis,,
8327549,2,Prosciurillus topapuensis,Ardilla De Topapu,0
8328725,2,Sicista trizona,Hungarian Birch Mouse,0
8340016,2,Equus hydruntinus,,
8377745,2,Murina harpioloides,Da Lat Tube-nosed Bat,0
8377991,2,Casinycteris campomaanensis,Campo-ma'an Fruit Bat,0
